Calcolo Numerico ed Elementi di Analisi ,
Laurea Triennale in Ingegneria Aerospaziale (E-P) ,
Prof. Andrea Manzoni ,
Esiti Prima Prova in Itinere – 12 Aprile 2022 ,
Matricola ,ESITO 
102388,"17,5 "
867412,16
867518,9
868808,10
869033,21
870847,"20,5 "
886528,15
887979,ASSENTE 
888734,24
889877,"5,5 "
890799,ASSENTE 
892947,18
900038,ASSENTE 
906864,17
906951,"13,5 "
907179,18
907640,20
907696,20
908158,"17,5 "
908880,"8,5 "
908926,17
909217,ASSENTE 
909264,"23,5 "
910155,"11,5 "
910331,18
910740,"4,5 "
911218,"11,5 "
911615,16
912001,16
913534,ASSENTE 
914400,6
931941,"11,5 "
932589,19
932664,10
933204,"11,5 "
933372,15
933518,17
933608,24
933637,"25,5 "
934155,"18,5 "
934299,ASSENTE 
934312,28
934363,"18,5 "
934658,16
934827,9
934860,8
935479,16
935580,ASSENTE 
936129,16
936187,12
936232,18
937021,25
937049,"17,5 "
937388,ASSENTE 
937477,"21,5 "
937682,19
954950,28
954955,"14,5 "
954976,22
955013,13
955042,"29,5 "
955050,24
955057,27
955071,"23,5 "
955185,29
955195,"31,5 "
955204,20
955214,"14,5 "
955225,23
955271,"24,5 "
955296,18
955327,19
955590,25
955630,24
955679,"24,5 "
955707,27
955716,"24,5 "
955742,"18,5 "
955767,"4,5 "
955835,"21,5 "
955865,21
955900,"29,5 "
955921,"13,5 "
955943,21
955954,"17,5 "
956111,23
956145,"25,5 "
956160,"31,5 "
956264,ASSENTE 
956318,"20,5 "
956329,25
956369,12
956424,"29,5 "
956457,31
956483,15
956490,"22,5 "
956515,"19,5 "
956537,24
956554,"22,5 "
956569,24
956574,"25,5 "
956587,23
956594,29
956673,ASSENTE 
956773,5
956791,"26,5 "
956865,"17,5 "
956913,27
956996,11
957043,23
957064,ASSENTE 
957305,ASSENTE 
957314,19
957334,"30,5 "
957452,27
957497,"31,5 "
957500,16
957504,24
957526,28
957660,25
957664,31
957683,26
957689,29
957809,"29,5 "
957813,"8,5 "
957834,18
957846,24
957888,21
957915,27
957926,"20,5 "
958363,21
958397,"30,5 "
958417,30
958531,29
958573,ASSENTE 
958583,"31,5 "
958624,16
958627,19
958710,27
958744,ASSENTE 
958798,25
959132,"21,5 "
959173,"31,5 "
959247,17
959302,25
959397,18
959405,13
959620,"27,5 "
959700,13
959895,9
960021,19
960025,"8,5 "
960079,21
960474,19
960799,25
960830,30
961020,"24,5 "
961063,15
961189,23
962826,13
965432,"23,5 "
965559,"14,5 "
969897,"29,5 "
